Number of mutations	Number of positions with this many mutations	Number of CP 1 positions with this many mutations	Number of CP 2 positions with this many mutations	Number of CP 3 positions with this many mutations	Number of non-coding positions with this many mutations	Number of uni-mutational positions with this many mutations	Fraction of positions which are uni-mutational	Average uni-mutational fraction of positions with this many mutations
33	5	2	0	2	1	1	0.2	0.8969696969696969
34	6	1	2	1	2	2	0.3333333333333333	0.8480392156862745
35	6	1	2	1	2	4	0.6666666666666666	0.9238095238095237
36	6	0	2	2	2	5	0.8333333333333334	0.9953703703703703
37	1	0	0	0	1	1	1.0	1.0
38	1	0	0	0	1	0	0.0	0.9473684210526315
39	2	0	1	0	1	0	0.0	0.9358974358974359
40	1	0	0	1	0	1	1.0	1.0
41	3	0	1	1	1	1	0.3333333333333333	0.983739837398374
42	1	0	1	0	0	0	0.0	0.5952380952380952
43	1	0	0	0	1	0	0.0	0.9767441860465116
44	3	0	1	1	1	1	0.3333333333333333	0.9848484848484849
45	1	0	0	0	1	0	0.0	0.9777777777777777
46	0	0	0	0	0	0	N/A	N/A
47	1	0	1	0	0	1	1.0	1.0
48	1	0	0	1	0	0	0.0	0.9791666666666666
49	1	0	0	1	0	1	1.0	1.0
50	1	1	0	0	0	1	1.0	1.0
51	0	0	0	0	0	0	N/A	N/A
52	1	1	0	0	0	0	0.0	0.9615384615384616
53	2	0	1	0	1	1	0.5	0.9433962264150944
54	2	0	1	0	1	0	0.0	0.9444444444444444
55	0	0	0	0	0	0	N/A	N/A
56	0	0	0	0	0	0	N/A	N/A
57	1	0	0	0	1	1	1.0	1.0
58	1	0	0	0	1	0	0.0	0.9655172413793104
59	0	0	0	0	0	0	N/A	N/A
60	1	0	0	0	1	0	0.0	0.5666666666666667
61	1	0	0	0	1	1	1.0	1.0
62	0	0	0	0	0	0	N/A	N/A
63	0	0	0	0	0	0	N/A	N/A
64	0	0	0	0	0	0	N/A	N/A
65	1	0	1	0	0	1	1.0	1.0
66	0	0	0	0	0	0	N/A	N/A
67	0	0	0	0	0	0	N/A	N/A
68	1	0	0	1	0	1	1.0	1.0
69	1	0	0	0	1	0	0.0	0.9855072463768116
70	0	0	0	0	0	0	N/A	N/A
71	0	0	0	0	0	0	N/A	N/A
72	1	0	1	0	0	1	1.0	1.0
73	1	1	0	0	0	0	0.0	0.9863013698630136
74	1	0	0	1	0	1	1.0	1.0
75	2	0	0	0	2	0	0.0	0.92
76	1	1	0	0	0	0	0.0	0.9868421052631579
77	1	0	0	1	0	1	1.0	1.0
78	1	1	0	0	0	0	0.0	0.6666666666666666
79	0	0	0	0	0	0	N/A	N/A
80	0	0	0	0	0	0	N/A	N/A
81	0	0	0	0	0	0	N/A	N/A
82	3	0	1	2	0	0	0.0	0.9268292682926829
83	0	0	0	0	0	0	N/A	N/A
84	1	1	0	0	0	0	0.0	0.9404761904761905
85	1	0	0	1	0	1	1.0	1.0
86	6	3	2	1	0	2	0.3333333333333333	0.9903100775193798
87	4	2	0	2	0	4	1.0	1.0
88	7	3	3	1	0	3	0.42857142857142855	0.9837662337662338
89	10	1	4	5	0	4	0.4	0.9865168539325841
90	8	2	1	5	0	1	0.125	0.9708333333333334
91	2	1	1	0	0	0	0.0	0.945054945054945
92	0	0	0	0	0	0	N/A	N/A
93	1	0	0	1	0	0	0.0	0.9354838709677419
94	0	0	0	0	0	0	N/A	N/A
95	0	0	0	0	0	0	N/A	N/A
96	0	0	0	0	0	0	N/A	N/A
97	0	0	0	0	0	0	N/A	N/A
98	0	0	0	0	0	0	N/A	N/A
99	0	0	0	0	0	0	N/A	N/A
100	0	0	0	0	0	0	N/A	N/A
101	0	0	0	0	0	0	N/A	N/A
102	0	0	0	0	0	0	N/A	N/A
103	0	0	0	0	0	0	N/A	N/A
104	0	0	0	0	0	0	N/A	N/A
105	0	0	0	0	0	0	N/A	N/A
106	0	0	0	0	0	0	N/A	N/A
107	0	0	0	0	0	0	N/A	N/A
108	1	0	0	1	0	0	0.0	0.9907407407407407
109	1	1	0	0	0	0	0.0	0.981651376146789
110	0	0	0	0	0	0	N/A	N/A
111	0	0	0	0	0	0	N/A	N/A
112	1	0	1	0	0	1	1.0	1.0
113	1	0	0	1	0	0	0.0	0.9911504424778761
114	1	0	0	1	0	1	1.0	1.0
115	1	0	0	1	0	1	1.0	1.0
116	2	1	0	1	0	1	0.5	0.9956896551724138
117	2	0	0	2	0	0	0.0	0.9914529914529915
118	1	0	0	1	0	0	0.0	0.9745762711864406
119	0	0	0	0	0	0	N/A	N/A
120	0	0	0	0	0	0	N/A	N/A
121	0	0	0	0	0	0	N/A	N/A
122	1	1	0	0	0	0	0.0	0.9672131147540983
123	0	0	0	0	0	0	N/A	N/A
124	1	0	0	1	0	0	0.0	0.9758064516129032
125	1	0	0	1	0	1	1.0	1.0
126	1	1	0	0	0	0	0.0	0.9682539682539683
127	1	0	0	1	0	1	1.0	1.0
128	1	1	0	0	0	0	0.0	0.9921875
129	3	1	0	2	0	2	0.6666666666666666	0.9896640826873385
130	7	1	1	5	0	3	0.42857142857142855	0.9681318681318681
131	6	2	1	3	0	3	0.5	0.9885496183206106
132	4	0	1	3	0	2	0.5	0.9943181818181819
133	3	1	0	2	0	0	0.0	0.9899749373433583
134	4	1	1	2	0	1	0.25	0.9776119402985075
135	2	2	0	0	0	1	0.5	0.9777777777777779
136	2	0	2	0	0	1	0.5	0.9889705882352942
137	2	2	0	0	0	1	0.5	0.9854014598540146
138	1	0	0	1	0	1	1.0	1.0
139	2	2	0	0	0	1	0.5	0.974820143884892
140	1	0	0	1	0	0	0.0	0.9857142857142858
141	1	0	1	0	0	1	1.0	1.0
142	1	0	0	1	0	0	0.0	0.9859154929577465
143	7	1	4	2	0	1	0.14285714285714285	0.9790209790209791
144	3	2	1	0	0	1	0.3333333333333333	0.9861111111111112
145	3	1	0	2	0	1	0.3333333333333333	0.9862068965517241
146	5	1	0	4	0	0	0.0	0.9767123287671232
147	7	1	3	3	0	1	0.14285714285714285	0.9747327502429544
148	5	1	0	4	0	2	0.4	0.9891891891891891
149	2	1	0	1	0	0	0.0	0.9899328859060403
150	2	0	0	2	0	1	0.5	0.9966666666666666
151	4	0	1	3	0	0	0.0	0.9586092715231788
152	1	0	0	1	0	0	0.0	0.993421052631579
153	1	0	0	1	0	1	1.0	1.0
154	2	0	0	2	0	1	0.5	0.9837662337662338
155	1	0	0	1	0	0	0.0	0.9935483870967742
156	0	0	0	0	0	0	N/A	N/A
157	0	0	0	0	0	0	N/A	N/A
158	1	0	0	1	0	0	0.0	0.9936708860759493
159	3	1	0	2	0	1	0.3333333333333333	0.9958071278825996
160	2	0	0	2	0	0	0.0	0.984375
161	2	0	0	2	0	0	0.0	0.9720496894409938
162	0	0	0	0	0	0	N/A	N/A
163	0	0	0	0	0	0	N/A	N/A
164	0	0	0	0	0	0	N/A	N/A
165	0	0	0	0	0	0	N/A	N/A
166	0	0	0	0	0	0	N/A	N/A
167	1	0	0	0	1	0	0.0	0.8622754491017964
168	2	0	0	1	1	1	0.5	0.9940476190476191
169	0	0	0	0	0	0	N/A	N/A
170	2	0	0	1	1	1	0.5	0.9911764705882353
171	3	0	0	0	3	0	0.0	0.9766081871345028
172	0	0	0	0	0	0	N/A	N/A
173	1	0	0	0	1	0	0.0	0.9826589595375722
174	0	0	0	0	0	0	N/A	N/A
175	0	0	0	0	0	0	N/A	N/A
176	0	0	0	0	0	0	N/A	N/A
177	0	0	0	0	0	0	N/A	N/A
178	0	0	0	0	0	0	N/A	N/A
179	0	0	0	0	0	0	N/A	N/A
180	0	0	0	0	0	0	N/A	N/A
181	0	0	0	0	0	0	N/A	N/A
182	0	0	0	0	0	0	N/A	N/A
183	1	0	0	1	0	0	0.0	0.994535519125683
184	1	1	0	0	0	0	0.0	0.9945652173913043
185	1	1	0	0	0	1	1.0	1.0
186	1	0	0	1	0	1	1.0	1.0
187	0	0	0	0	0	0	N/A	N/A
188	0	0	0	0	0	0	N/A	N/A
189	0	0	0	0	0	0	N/A	N/A
190	0	0	0	0	0	0	N/A	N/A
191	0	0	0	0	0	0	N/A	N/A
192	0	0	0	0	0	0	N/A	N/A
193	0	0	0	0	0	0	N/A	N/A
194	0	0	0	0	0	0	N/A	N/A
195	0	0	0	0	0	0	N/A	N/A
196	0	0	0	0	0	0	N/A	N/A
197	0	0	0	0	0	0	N/A	N/A
198	0	0	0	0	0	0	N/A	N/A
199	0	0	0	0	0	0	N/A	N/A
200	0	0	0	0	0	0	N/A	N/A
201	0	0	0	0	0	0	N/A	N/A
202	0	0	0	0	0	0	N/A	N/A
203	0	0	0	0	0	0	N/A	N/A
204	0	0	0	0	0	0	N/A	N/A
205	0	0	0	0	0	0	N/A	N/A
206	0	0	0	0	0	0	N/A	N/A
207	0	0	0	0	0	0	N/A	N/A
208	0	0	0	0	0	0	N/A	N/A
209	0	0	0	0	0	0	N/A	N/A
210	0	0	0	0	0	0	N/A	N/A
211	0	0	0	0	0	0	N/A	N/A
212	0	0	0	0	0	0	N/A	N/A
213	0	0	0	0	0	0	N/A	N/A
214	1	0	1	0	0	1	1.0	1.0
215	0	0	0	0	0	0	N/A	N/A
216	0	0	0	0	0	0	N/A	N/A
217	0	0	0	0	0	0	N/A	N/A
218	0	0	0	0	0	0	N/A	N/A
219	0	0	0	0	0	0	N/A	N/A
220	0	0	0	0	0	0	N/A	N/A
221	0	0	0	0	0	0	N/A	N/A
222	0	0	0	0	0	0	N/A	N/A
223	0	0	0	0	0	0	N/A	N/A
224	0	0	0	0	0	0	N/A	N/A
225	0	0	0	0	0	0	N/A	N/A
226	0	0	0	0	0	0	N/A	N/A
227	0	0	0	0	0	0	N/A	N/A
228	0	0	0	0	0	0	N/A	N/A
229	0	0	0	0	0	0	N/A	N/A
230	0	0	0	0	0	0	N/A	N/A
231	0	0	0	0	0	0	N/A	N/A
232	0	0	0	0	0	0	N/A	N/A
233	0	0	0	0	0	0	N/A	N/A
234	0	0	0	0	0	0	N/A	N/A
235	0	0	0	0	0	0	N/A	N/A
236	0	0	0	0	0	0	N/A	N/A
237	0	0	0	0	0	0	N/A	N/A
238	0	0	0	0	0	0	N/A	N/A
239	0	0	0	0	0	0	N/A	N/A
240	0	0	0	0	0	0	N/A	N/A
241	0	0	0	0	0	0	N/A	N/A
242	0	0	0	0	0	0	N/A	N/A
243	0	0	0	0	0	0	N/A	N/A
244	0	0	0	0	0	0	N/A	N/A
245	0	0	0	0	0	0	N/A	N/A
246	0	0	0	0	0	0	N/A	N/A
247	0	0	0	0	0	0	N/A	N/A
248	0	0	0	0	0	0	N/A	N/A
249	0	0	0	0	0	0	N/A	N/A
250	0	0	0	0	0	0	N/A	N/A
251	0	0	0	0	0	0	N/A	N/A
252	0	0	0	0	0	0	N/A	N/A
253	0	0	0	0	0	0	N/A	N/A
254	0	0	0	0	0	0	N/A	N/A
255	0	0	0	0	0	0	N/A	N/A
256	0	0	0	0	0	0	N/A	N/A
257	0	0	0	0	0	0	N/A	N/A
258	0	0	0	0	0	0	N/A	N/A
259	0	0	0	0	0	0	N/A	N/A
260	0	0	0	0	0	0	N/A	N/A
261	0	0	0	0	0	0	N/A	N/A
262	0	0	0	0	0	0	N/A	N/A
263	0	0	0	0	0	0	N/A	N/A
264	0	0	0	0	0	0	N/A	N/A
265	0	0	0	0	0	0	N/A	N/A
266	0	0	0	0	0	0	N/A	N/A
267	0	0	0	0	0	0	N/A	N/A
268	0	0	0	0	0	0	N/A	N/A
269	0	0	0	0	0	0	N/A	N/A
270	0	0	0	0	0	0	N/A	N/A
271	0	0	0	0	0	0	N/A	N/A
272	0	0	0	0	0	0	N/A	N/A
273	0	0	0	0	0	0	N/A	N/A
274	0	0	0	0	0	0	N/A	N/A
275	0	0	0	0	0	0	N/A	N/A
276	0	0	0	0	0	0	N/A	N/A
277	0	0	0	0	0	0	N/A	N/A
278	0	0	0	0	0	0	N/A	N/A
279	0	0	0	0	0	0	N/A	N/A
280	0	0	0	0	0	0	N/A	N/A
281	0	0	0	0	0	0	N/A	N/A
282	0	0	0	0	0	0	N/A	N/A
283	0	0	0	0	0	0	N/A	N/A
284	0	0	0	0	0	0	N/A	N/A
285	0	0	0	0	0	0	N/A	N/A
286	0	0	0	0	0	0	N/A	N/A
287	0	0	0	0	0	0	N/A	N/A
288	0	0	0	0	0	0	N/A	N/A
289	0	0	0	0	0	0	N/A	N/A
290	0	0	0	0	0	0	N/A	N/A
291	0	0	0	0	0	0	N/A	N/A
292	0	0	0	0	0	0	N/A	N/A
293	0	0	0	0	0	0	N/A	N/A
294	0	0	0	0	0	0	N/A	N/A
295	0	0	0	0	0	0	N/A	N/A
296	0	0	0	0	0	0	N/A	N/A
297	0	0	0	0	0	0	N/A	N/A
298	0	0	0	0	0	0	N/A	N/A
299	0	0	0	0	0	0	N/A	N/A
300	0	0	0	0	0	0	N/A	N/A
301	0	0	0	0	0	0	N/A	N/A
302	0	0	0	0	0	0	N/A	N/A
303	0	0	0	0	0	0	N/A	N/A
304	0	0	0	0	0	0	N/A	N/A
305	0	0	0	0	0	0	N/A	N/A
306	0	0	0	0	0	0	N/A	N/A
307	0	0	0	0	0	0	N/A	N/A
308	0	0	0	0	0	0	N/A	N/A
309	0	0	0	0	0	0	N/A	N/A
310	0	0	0	0	0	0	N/A	N/A
311	0	0	0	0	0	0	N/A	N/A
312	0	0	0	0	0	0	N/A	N/A
313	0	0	0	0	0	0	N/A	N/A
314	0	0	0	0	0	0	N/A	N/A
315	0	0	0	0	0	0	N/A	N/A
316	0	0	0	0	0	0	N/A	N/A
317	0	0	0	0	0	0	N/A	N/A
318	0	0	0	0	0	0	N/A	N/A
319	0	0	0	0	0	0	N/A	N/A
320	0	0	0	0	0	0	N/A	N/A
321	0	0	0	0	0	0	N/A	N/A
322	0	0	0	0	0	0	N/A	N/A
323	0	0	0	0	0	0	N/A	N/A
324	0	0	0	0	0	0	N/A	N/A
325	0	0	0	0	0	0	N/A	N/A
326	0	0	0	0	0	0	N/A	N/A
327	0	0	0	0	0	0	N/A	N/A
328	0	0	0	0	0	0	N/A	N/A
329	0	0	0	0	0	0	N/A	N/A
330	0	0	0	0	0	0	N/A	N/A
331	0	0	0	0	0	0	N/A	N/A
332	0	0	0	0	0	0	N/A	N/A
333	0	0	0	0	0	0	N/A	N/A
334	0	0	0	0	0	0	N/A	N/A
335	0	0	0	0	0	0	N/A	N/A
336	0	0	0	0	0	0	N/A	N/A
337	0	0	0	0	0	0	N/A	N/A
338	0	0	0	0	0	0	N/A	N/A
339	0	0	0	0	0	0	N/A	N/A
340	0	0	0	0	0	0	N/A	N/A
341	0	0	0	0	0	0	N/A	N/A
342	0	0	0	0	0	0	N/A	N/A
343	0	0	0	0	0	0	N/A	N/A
344	0	0	0	0	0	0	N/A	N/A
345	0	0	0	0	0	0	N/A	N/A
346	0	0	0	0	0	0	N/A	N/A
347	0	0	0	0	0	0	N/A	N/A
348	0	0	0	0	0	0	N/A	N/A
349	0	0	0	0	0	0	N/A	N/A
350	0	0	0	0	0	0	N/A	N/A
351	0	0	0	0	0	0	N/A	N/A
352	0	0	0	0	0	0	N/A	N/A
353	0	0	0	0	0	0	N/A	N/A
354	0	0	0	0	0	0	N/A	N/A
355	0	0	0	0	0	0	N/A	N/A
356	0	0	0	0	0	0	N/A	N/A
357	0	0	0	0	0	0	N/A	N/A
358	0	0	0	0	0	0	N/A	N/A
359	0	0	0	0	0	0	N/A	N/A
360	0	0	0	0	0	0	N/A	N/A
361	0	0	0	0	0	0	N/A	N/A
362	0	0	0	0	0	0	N/A	N/A
363	0	0	0	0	0	0	N/A	N/A
364	0	0	0	0	0	0	N/A	N/A
365	0	0	0	0	0	0	N/A	N/A
366	0	0	0	0	0	0	N/A	N/A
367	0	0	0	0	0	0	N/A	N/A
368	0	0	0	0	0	0	N/A	N/A
369	0	0	0	0	0	0	N/A	N/A
370	0	0	0	0	0	0	N/A	N/A
371	0	0	0	0	0	0	N/A	N/A
372	0	0	0	0	0	0	N/A	N/A
373	0	0	0	0	0	0	N/A	N/A
374	0	0	0	0	0	0	N/A	N/A
375	0	0	0	0	0	0	N/A	N/A
376	0	0	0	0	0	0	N/A	N/A
377	0	0	0	0	0	0	N/A	N/A
378	0	0	0	0	0	0	N/A	N/A
379	0	0	0	0	0	0	N/A	N/A
380	0	0	0	0	0	0	N/A	N/A
381	0	0	0	0	0	0	N/A	N/A
382	0	0	0	0	0	0	N/A	N/A
383	0	0	0	0	0	0	N/A	N/A
384	0	0	0	0	0	0	N/A	N/A
385	0	0	0	0	0	0	N/A	N/A
386	0	0	0	0	0	0	N/A	N/A
387	0	0	0	0	0	0	N/A	N/A
388	0	0	0	0	0	0	N/A	N/A
389	0	0	0	0	0	0	N/A	N/A
390	0	0	0	0	0	0	N/A	N/A
391	0	0	0	0	0	0	N/A	N/A
392	0	0	0	0	0	0	N/A	N/A
393	0	0	0	0	0	0	N/A	N/A
394	0	0	0	0	0	0	N/A	N/A
395	0	0	0	0	0	0	N/A	N/A
396	0	0	0	0	0	0	N/A	N/A
397	0	0	0	0	0	0	N/A	N/A
398	0	0	0	0	0	0	N/A	N/A
399	0	0	0	0	0	0	N/A	N/A
400	0	0	0	0	0	0	N/A	N/A
401	0	0	0	0	0	0	N/A	N/A
402	0	0	0	0	0	0	N/A	N/A
403	0	0	0	0	0	0	N/A	N/A
404	0	0	0	0	0	0	N/A	N/A
405	0	0	0	0	0	0	N/A	N/A
406	0	0	0	0	0	0	N/A	N/A
407	0	0	0	0	0	0	N/A	N/A
408	0	0	0	0	0	0	N/A	N/A
409	0	0	0	0	0	0	N/A	N/A
410	0	0	0	0	0	0	N/A	N/A
411	0	0	0	0	0	0	N/A	N/A
412	0	0	0	0	0	0	N/A	N/A
413	0	0	0	0	0	0	N/A	N/A
414	0	0	0	0	0	0	N/A	N/A
415	0	0	0	0	0	0	N/A	N/A
416	0	0	0	0	0	0	N/A	N/A
417	0	0	0	0	0	0	N/A	N/A
418	0	0	0	0	0	0	N/A	N/A
419	0	0	0	0	0	0	N/A	N/A
420	0	0	0	0	0	0	N/A	N/A
421	0	0	0	0	0	0	N/A	N/A
422	0	0	0	0	0	0	N/A	N/A
423	0	0	0	0	0	0	N/A	N/A
424	0	0	0	0	0	0	N/A	N/A
425	0	0	0	0	0	0	N/A	N/A
426	0	0	0	0	0	0	N/A	N/A
427	0	0	0	0	0	0	N/A	N/A
428	0	0	0	0	0	0	N/A	N/A
429	0	0	0	0	0	0	N/A	N/A
430	0	0	0	0	0	0	N/A	N/A
431	0	0	0	0	0	0	N/A	N/A
432	0	0	0	0	0	0	N/A	N/A
433	0	0	0	0	0	0	N/A	N/A
434	0	0	0	0	0	0	N/A	N/A
435	0	0	0	0	0	0	N/A	N/A
436	0	0	0	0	0	0	N/A	N/A
437	0	0	0	0	0	0	N/A	N/A
438	0	0	0	0	0	0	N/A	N/A
439	0	0	0	0	0	0	N/A	N/A
440	0	0	0	0	0	0	N/A	N/A
441	0	0	0	0	0	0	N/A	N/A
442	0	0	0	0	0	0	N/A	N/A
443	0	0	0	0	0	0	N/A	N/A
444	0	0	0	0	0	0	N/A	N/A
445	0	0	0	0	0	0	N/A	N/A
446	0	0	0	0	0	0	N/A	N/A
447	0	0	0	0	0	0	N/A	N/A
448	0	0	0	0	0	0	N/A	N/A
449	0	0	0	0	0	0	N/A	N/A
450	0	0	0	0	0	0	N/A	N/A
451	0	0	0	0	0	0	N/A	N/A
452	0	0	0	0	0	0	N/A	N/A
453	0	0	0	0	0	0	N/A	N/A
454	0	0	0	0	0	0	N/A	N/A
455	0	0	0	0	0	0	N/A	N/A
456	0	0	0	0	0	0	N/A	N/A
457	0	0	0	0	0	0	N/A	N/A
458	0	0	0	0	0	0	N/A	N/A
459	0	0	0	0	0	0	N/A	N/A
460	0	0	0	0	0	0	N/A	N/A
461	0	0	0	0	0	0	N/A	N/A
462	0	0	0	0	0	0	N/A	N/A
463	0	0	0	0	0	0	N/A	N/A
464	0	0	0	0	0	0	N/A	N/A
465	0	0	0	0	0	0	N/A	N/A
466	0	0	0	0	0	0	N/A	N/A
467	0	0	0	0	0	0	N/A	N/A
468	0	0	0	0	0	0	N/A	N/A
469	0	0	0	0	0	0	N/A	N/A
470	0	0	0	0	0	0	N/A	N/A
471	0	0	0	0	0	0	N/A	N/A
472	0	0	0	0	0	0	N/A	N/A
473	0	0	0	0	0	0	N/A	N/A
474	0	0	0	0	0	0	N/A	N/A
475	0	0	0	0	0	0	N/A	N/A
476	0	0	0	0	0	0	N/A	N/A
477	0	0	0	0	0	0	N/A	N/A
478	0	0	0	0	0	0	N/A	N/A
479	0	0	0	0	0	0	N/A	N/A
480	0	0	0	0	0	0	N/A	N/A
481	0	0	0	0	0	0	N/A	N/A
482	0	0	0	0	0	0	N/A	N/A
483	0	0	0	0	0	0	N/A	N/A
484	0	0	0	0	0	0	N/A	N/A
485	0	0	0	0	0	0	N/A	N/A
486	0	0	0	0	0	0	N/A	N/A
487	0	0	0	0	0	0	N/A	N/A
488	0	0	0	0	0	0	N/A	N/A
489	0	0	0	0	0	0	N/A	N/A
490	0	0	0	0	0	0	N/A	N/A
491	0	0	0	0	0	0	N/A	N/A
492	0	0	0	0	0	0	N/A	N/A
493	0	0	0	0	0	0	N/A	N/A
494	0	0	0	0	0	0	N/A	N/A
495	0	0	0	0	0	0	N/A	N/A
496	0	0	0	0	0	0	N/A	N/A
497	0	0	0	0	0	0	N/A	N/A
498	0	0	0	0	0	0	N/A	N/A
499	0	0	0	0	0	0	N/A	N/A
500	0	0	0	0	0	0	N/A	N/A
501	0	0	0	0	0	0	N/A	N/A
502	0	0	0	0	0	0	N/A	N/A
503	0	0	0	0	0	0	N/A	N/A
504	0	0	0	0	0	0	N/A	N/A
505	0	0	0	0	0	0	N/A	N/A
506	0	0	0	0	0	0	N/A	N/A
507	0	0	0	0	0	0	N/A	N/A
508	0	0	0	0	0	0	N/A	N/A
509	0	0	0	0	0	0	N/A	N/A
510	0	0	0	0	0	0	N/A	N/A
511	0	0	0	0	0	0	N/A	N/A
512	0	0	0	0	0	0	N/A	N/A
513	0	0	0	0	0	0	N/A	N/A
514	0	0	0	0	0	0	N/A	N/A
515	0	0	0	0	0	0	N/A	N/A
516	0	0	0	0	0	0	N/A	N/A
517	1	0	0	1	0	0	0.0	0.9980657640232108
518	0	0	0	0	0	0	N/A	N/A
519	0	0	0	0	0	0	N/A	N/A
520	0	0	0	0	0	0	N/A	N/A
521	0	0	0	0	0	0	N/A	N/A
522	0	0	0	0	0	0	N/A	N/A
523	0	0	0	0	0	0	N/A	N/A
524	0	0	0	0	0	0	N/A	N/A
525	0	0	0	0	0	0	N/A	N/A
526	0	0	0	0	0	0	N/A	N/A
527	0	0	0	0	0	0	N/A	N/A
528	0	0	0	0	0	0	N/A	N/A
529	0	0	0	0	0	0	N/A	N/A
530	0	0	0	0	0	0	N/A	N/A
531	0	0	0	0	0	0	N/A	N/A
532	0	0	0	0	0	0	N/A	N/A
533	0	0	0	0	0	0	N/A	N/A
534	0	0	0	0	0	0	N/A	N/A
535	0	0	0	0	0	0	N/A	N/A
536	0	0	0	0	0	0	N/A	N/A
537	0	0	0	0	0	0	N/A	N/A
538	0	0	0	0	0	0	N/A	N/A
539	0	0	0	0	0	0	N/A	N/A
540	0	0	0	0	0	0	N/A	N/A
541	0	0	0	0	0	0	N/A	N/A
542	0	0	0	0	0	0	N/A	N/A
543	0	0	0	0	0	0	N/A	N/A
544	0	0	0	0	0	0	N/A	N/A
545	0	0	0	0	0	0	N/A	N/A
546	0	0	0	0	0	0	N/A	N/A
547	0	0	0	0	0	0	N/A	N/A
548	0	0	0	0	0	0	N/A	N/A
549	0	0	0	0	0	0	N/A	N/A
550	0	0	0	0	0	0	N/A	N/A
551	0	0	0	0	0	0	N/A	N/A
552	0	0	0	0	0	0	N/A	N/A
553	0	0	0	0	0	0	N/A	N/A
554	0	0	0	0	0	0	N/A	N/A
555	0	0	0	0	0	0	N/A	N/A
556	0	0	0	0	0	0	N/A	N/A
557	0	0	0	0	0	0	N/A	N/A
558	0	0	0	0	0	0	N/A	N/A
559	0	0	0	0	0	0	N/A	N/A
560	0	0	0	0	0	0	N/A	N/A
561	0	0	0	0	0	0	N/A	N/A
562	0	0	0	0	0	0	N/A	N/A
563	0	0	0	0	0	0	N/A	N/A
564	0	0	0	0	0	0	N/A	N/A
565	0	0	0	0	0	0	N/A	N/A
566	0	0	0	0	0	0	N/A	N/A
567	0	0	0	0	0	0	N/A	N/A
568	0	0	0	0	0	0	N/A	N/A
569	0	0	0	0	0	0	N/A	N/A
570	0	0	0	0	0	0	N/A	N/A
571	0	0	0	0	0	0	N/A	N/A
572	0	0	0	0	0	0	N/A	N/A
573	0	0	0	0	0	0	N/A	N/A
574	0	0	0	0	0	0	N/A	N/A
575	0	0	0	0	0	0	N/A	N/A
576	0	0	0	0	0	0	N/A	N/A
577	0	0	0	0	0	0	N/A	N/A
578	0	0	0	0	0	0	N/A	N/A
579	0	0	0	0	0	0	N/A	N/A
580	0	0	0	0	0	0	N/A	N/A
581	0	0	0	0	0	0	N/A	N/A
582	0	0	0	0	0	0	N/A	N/A
583	0	0	0	0	0	0	N/A	N/A
584	0	0	0	0	0	0	N/A	N/A
585	0	0	0	0	0	0	N/A	N/A
586	0	0	0	0	0	0	N/A	N/A
587	0	0	0	0	0	0	N/A	N/A
588	0	0	0	0	0	0	N/A	N/A
